amp,sigma8,h,Omega_m,S8,PASS,delta_sigma8,delta_S8
0.0,0.8222012166542328,0.6736,0.31377210267376066,0.8408618554692793,True,0.0,0.0
1e-08,0.8222011607028741,0.6736,0.3137721026735896,0.840861798247822,True,-5.595135876834689e-08,-5.7221457239187146e-08
1e-07,0.8222011229754383,0.6736,0.31377210267205047,0.840861759662064,True,-9.367879449939664e-08,-9.58072152723588e-08
1e-06,0.8222009198987444,0.6736,0.3137721026566593,0.8408615519557282,True,-2.967554884047985e-07,-3.035135510698339e-07
1e-05,0.8221984389855442,0.6736,0.313772102502747,0.8408590145296126,True,-2.7776686886138435e-06,-2.840939666626241e-06
0.0001,0.822173278505011,0.6736,0.3137721009636246,0.8408332809458066,True,-2.793814922186222e-05,-2.8574523472713054e-05
